Total A and B	2010 week:Ê1	2010 week:Ê2	2010 week:Ê3	2010 week:Ê4	2010 week:Ê5	2010 week:Ê6	2010 week:Ê7	2010 week:Ê8	2010 week:Ê9	2010 week:Ê10	2010 week:Ê11	2010 week:Ê12	2010 week:Ê13	2010 week:Ê14	2010 week:Ê15	2010 week:Ê16	2010 week:Ê17	2010 week:Ê18	2010 week:Ê19	2010 week:Ê20	2010 week:Ê21	2010 week:Ê22	2010 week:Ê23	2010 week:Ê24	2010 week:Ê25	2010 week:Ê26	2010 week:Ê27	2010 week:Ê28	2010 week:Ê29	2010 week:Ê30	2010 week:Ê31	2010 week:Ê32	2010 week:Ê33	2010 week:Ê34	2010 week:Ê35	2010 week:Ê36	2010 week:Ê37	2010 week:Ê38	2010 week:Ê39	2010 week:Ê40	2010 week:Ê41	2010 week:Ê42	2010 week:Ê43	2010 week:Ê44	2010 week:Ê45	2010 week:Ê46	2010 week:Ê47	2010 week:Ê48	2010 week:Ê49	2010 week:Ê50	2010 week:Ê51	2010 week:Ê52	2011 week:Ê1	2011 week:Ê2	2011 week:Ê3	2011 week:Ê4	2011 week:Ê5	2011 week:Ê6	2011 week:Ê7	2011 week:Ê8	2011 week:Ê9	2011 week:Ê10	2011 week:Ê11	2011 week:Ê12	2011 week:Ê13	2011 week:Ê14	2011 week:Ê15	2011 week:Ê16	2011 week:Ê17	2011 week:Ê18	2011 week:Ê19	2011 week:Ê20	2011 week:Ê21	2011 week:Ê22	2011 week:Ê23	2011 week:Ê24	2011 week:Ê25	2011 week:Ê26	2011 week:Ê27	2011 week:Ê28	2011 week:Ê29	2011 week:Ê30	2011 week:Ê31	2011 week:Ê32	2011 week:Ê33	2011 week:Ê34	2011 week:Ê35	2011 week:Ê36	2011 week:Ê37	2011 week:Ê38	2011 week:Ê39	2011 week:Ê40	2011 week:Ê41	2011 week:Ê42	2011 week:Ê43	2011 week:Ê44	2011 week:Ê45	2011 week:Ê46	2011 week:Ê47	2011 week:Ê48	2011 week:Ê49	2011 week:Ê50	2011 week:Ê51	2011 week:Ê52	2012 week:Ê1	2012 week:Ê2	2012 week:Ê3	2012 week:Ê4	2012 week:Ê5	2012 week:Ê6	2012 week:Ê7	2012 week:Ê8	2012 week:Ê9	2012 week:Ê10	2012 week:Ê11	2012 week:Ê12	2012 week:Ê13	2012 week:Ê14	2012 week:Ê15	2012 week:Ê16	2012 week:Ê17	2012 week:Ê18	2012 week:Ê19	2012 week:Ê20	2012 week:Ê21	2012 week:Ê22	2012 week:Ê23	2012 week:Ê24	2012 week:Ê25	2012 week:Ê26	2012 week:Ê27	2012 week:Ê28	2012 week:Ê29	2012 week:Ê30	2012 week:Ê31	2012 week:Ê32	2012 week:Ê33	2012 week:Ê34	2012 week:Ê35	2012 week:Ê36	2012 week:Ê37	2012 week:Ê38	2012 week:Ê39	2012 week:Ê40	2012 week:Ê41	2012 week:Ê42	2012 week:Ê43	2012 week:Ê44	2012 week:Ê45	2012 week:Ê46	2012 week:Ê47	2012 week:Ê48	2012 week:Ê49	2012 week:Ê50	2012 week:Ê51	2012 week:Ê52	2013 week:Ê1	2013 week:Ê2	2013 week:Ê3	2013 week:Ê4	2013 week:Ê5	2013 week:Ê6	2013 week:Ê7	2013 week:Ê8	2013 week:Ê9	2013 week:Ê10	2013 week:Ê11	2013 week:Ê12	2013 week:Ê13	2013 week:Ê14	2013 week:Ê15	2013 week:Ê16	2013 week:Ê17	2013 week:Ê18	2013 week:Ê19	2013 week:Ê20	2013 week:Ê21	2013 week:Ê22	2013 week:Ê23	2013 week:Ê24	2013 week:Ê25	2013 week:Ê26	2013 week:Ê27	2013 week:Ê28	2013 week:Ê29	2013 week:Ê30	2013 week:Ê31	2013 week:Ê32	2013 week:Ê33	2013 week:Ê34	2013 week:Ê35	2013 week:Ê36	2013 week:Ê37	2013 week:Ê38	2013 week:Ê39	2013 week:Ê40	2013 week:Ê41	2013 week:Ê42	2013 week:Ê43	2013 week:Ê44	2013 week:Ê45	2013 week:Ê46	2013 week:Ê47	2013 week:Ê48	2013 week:Ê49	2013 week:Ê50	2013 week:Ê51	2013 week:Ê52	2014 week:Ê1	2014 week:Ê2	2014 week:Ê3	2014 week:Ê4	2014 week:Ê5	2014 week:Ê6	2014 week:Ê7	2014 week:Ê8	2014 week:Ê9	2014 week:Ê10	2014 week:Ê11	2014 week:Ê12	2014 week:Ê13	2014 week:Ê14	2014 week:Ê15	2014 week:Ê16	2014 week:Ê17	2014 week:Ê18	2014 week:Ê19	2014 week:Ê20	2014 week:Ê21	2014 week:Ê22	2014 week:Ê23	2014 week:Ê24	2014 week:Ê25	2014 week:Ê26	2014 week:Ê27	2014 week:Ê28	2014 week:Ê29	2014 week:Ê30	2014 week:Ê31	2014 week:Ê32	2014 week:Ê33	2014 week:Ê34	2014 week:Ê35	2014 week:Ê36	2014 week:Ê37	2014 week:Ê38	2014 week:Ê39	2014 week:Ê40	2014 week:Ê41	2014 week:Ê42	2014 week:Ê43	2014 week:Ê44	2014 week:Ê45	2014 week:Ê46	2014 week:Ê47	2014 week:Ê48	2014 week:Ê49	2014 week:Ê50	2014 week:Ê51	2014 week:Ê52
Georgia	62	35		15	4	7	3	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0										0	0	0	1	0	14	0	0	0	0	0	1	1	11	0	0	1	3	6	23	93	104	94	109	117	101	68	65	59	17	2	2	4	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	2	0	1	3	7	7	14	17	34	24	18	12	20	5	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	3	3	4	9	13	29	44	42	14	14	19	7	7	11	2	5	6	10	3	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	7	11	17	40	18	13	6	6	1	2	1	1	1	0	1	0	0	0	0	0	0	0															0	0	0	2	0	0	0	0	0	0	1		
Germany	26	24	18						3	7	2	6	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	2	0	1	1	3	1	2	23	18	44	69	154	171	206	234	233	148	126	114	95	87	62	30	19	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0		0	0	0	0	0	0	1	0	0	0	1	0	2	3	4	2	2	2	8	15	25	27	37	39	67	73	81	48	64	50	28	29	12	7	4	3	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	2	1	2	2	3	6	10	22	28	15	25	71	96	202	244	252	234	243	180	157	143	102	87	67	39	19	9	2	2	0	1	3	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	2	0	2	0	2	1	5	3	1	1	5	11	15	16	32	34	33	24	34	37	45	15	16	10	7	4	6	3	6	4	1	0	0	0															0	1	0	2	2	2	1	1	3	3	4		
Ghana	2	0	9	5	4	6	5	17	22	19	68	134	203	140	112	59	21	9	13	22	15	21	43	24	24	10	15	23	20	7	4	4	1	30	22	0	4	0	3	0	0	2	2	2	1	6	1	3	5	4	1	4	4	5	1	2	2	1	9	5	8	2	9	14	21	10	27	11	13	4	7	8	10	15	21	30	27	13	28	25	10	15	12	4	4	3	4	3	0	2	0	0	1	1	2	0	0	0	3	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	2	1	2	2	1	1	2	5	12	6	10	21	32	14	29	35	26	23	16	10	19	11	4	3	7	7	4	11	20	26	17	27	27	23	33	18	15	8	0	3	3	1	9	0	3	0	0	0	1	1	1	0	2	1	3	2	1	1	0	0	0	0	2	3	2	5	9	7	9	5	3	3	1	5	5	5	5	10	2	6	9	7	9	20	12	15	14	10	10	18	5	5	11	13	14	11	12	16	10	11	7	3	8	7	9	3	8	8	9	4	10	10	13	5	3	4	1	2	2	0	3	0	0	1	1	1	1	1	1	1	3	0	2	1	3	3	1	0	0	0	0		
Greece	357	198	117	69	103	81	55	38	18	19	14	9	6	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	51	275	610	1008	1305	1085	507	242	139	95	39	17	8	3	0	0	1																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	5	25	28	42	46	72	59	54	57	30	24	14	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4	10	24	29	32	44	58	43	48	36	26	18	21	8	3	2	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	20	37	56	66	115	26	121	107	22	80	62	34	25	7		4	0	0	0																																
Guadeloupe	1	1	1	0	2	0	1	0																						0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	26	0	21	0	10	0	9	0	3	5	0	11	0	6	0	1	0	0	4	3	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	3	6	8	4	7	3	4	6	8	3	1	2	4	1	2	1	1	1	4	0																																	2	8	10	5	6	1	2	7	2	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	7	11	5	8	12	11	2	8	6	7	5	2	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guatemala	0	1	0	0	1	3	0	0	1	1	3	3	1	6	7	14	4	3	1	2	2	2	7	0	0	0	3	3	2	0	3	1	1	0	3	3	0	5	3	1	0	1	0	0	0	0	0	0	0	0		0	6	2	2	2	1	1	3	10	5	10	2	3	12	7	3	0	0	3	0	3	1	1	2	5	1	0	0	3	2	4	1	0	0	0	1	1	1	1	2	3	2	1	0	2	1	2	2	0	1	2	0	2	2	0	0	3	1	3	4	11	22	50	92	68	41	7	15	9	5	8	6	2	6	5	7	2	1	3	1	2	2	4	1	4	0	3	0	2	3	2	1	1	3	1	1	2	4	6	1	1	2	0			3	3	6	8	10	4	12	7	5	5	10	5	6	4	5	4	2	3	0	2	0	4	2	5	2	4	2	7	2	5	6	7	2	4	6	3	2	8	2	5	5	7	3	2	1	6	4	1	0	1	0	0	0	1	0	0	1	2	0	1	2	0	2	3	2	1	1	1	1	0	3	0	1	0	0	1	4	1	1	3	4	6	0	3	1	2	2	2	3	4	1	2	8	1	4	2	5	18	7	2	0			
Guinea	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0																																																																																																																																																																																																																																							
Honduras	8	3	10	4	11	9	12	20	36	35	21	12	4	12	11	6	8	1	6	3	2	1	5	2	3	3	8	11	24	17	40	28	22	10	14	4	2	5	0	3	2	3	0	4	0	0	7	3	3	1	1	0	2	1	1	1	2	0	0	0	2	1	0	1	0	1	0	0	0	0	0	3	0	1	2	1	0	1	7	6	4	6	16	17	22	10	13	18	13	11	5	7	7	3	5	4	4	4	2	1	0	0	1	0	1	1	1	0	0	1	2	1	2	3	1	0	5	1	5	5	5	4	2	1	3	5	2	1	4	4	0	4	3	2	0	0	1	2	2	1	0	0	0	0	2	3	4	9	14	10	6	6	8	2			1	1	9	2	5	4	3	0	3	1	2	1	0	0	0	0	1	5	0	0	0	0	0	0	0	4	1	0	0	0	0	1	1	1	1	5	7	9	19	17	34	16	23	22	20	8	6	5	3	3	1		0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	2	0	2	6	9	4	7	11	4	11	11	13	10	8	6	4	4	2	6	0	0	2	0	3	3	7	5	4									
Hungary	107								7	11	4	4	4	2	2	1	0	1	0	2	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	19	0	37	97	57	84	86	61	62	39	14	27	18	4	5	0	0	0	0	0																				0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	9	10	10	39	58	80	89	30	98	38	17	12	9	4	2	0	0																				0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	5	5	14	14	20	46	66	32		25	10	7	9	2	3	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0		0	1	1	6	9	8		19	23	30	10	13	9	7	7	1	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0		
Iceland																																																	0	1	2	2	4	6	3	10	17	22	16	10	12	12	13	9	3	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	2	3	6	2	7	4	12	22	16	15	10	6	8	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	5	12	21	27	26	18	11	15	25	9	4	9	17	5	10	5	1	8	2	7	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	3	10	15	17	15	22	17	11	7	3	6	1	0	0	2	2	0	5	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
India	120	128	134	108	131	127	112	105	110	95	76	72	66	95	60	35	35	47	39	26	28	38	24	22	45	68	97	111	232	317	436	513	453	425	310	218	165	93	53	15	11	3	13	5	0	1	1	3	1	0			6	7	20	19	19	8	22	15	12	11	13	10	6	3	6	2	0	2	1	2	7	16	29	25	51	52	138	57	66	77	57	37	30	29	17	10	34	25	27	19	26	35	23	30	28	36	27	29	28	40	32	33	33	26	31	20	31	16	17	30	22	27	67	115	141	99	92	51	36	33	28	31	28	28	24	30	26	23	56	36	48	53	62	53	75	95	132	160	150	160	144	101	133	72	55	72	64	63	34	31	18	24	11	16	35	34	30	18	36	40	61	52	62	63	91	90	60	75	68	48	38	34	29	41	49	35	23	36	36	58	49	72	59	69	60	40	44	37	47	25	19	17	11	6	4	7	6	6	5	4	8	14	20	14	27	18	10	8	8	10	10	13	8	3	9	15	18	9	11	11	14	14	12	16	7	9	18	10	21	19	16	43	34	56	32	37	58	53	55	46	32	30	18	13	15	10	8	18	7	4	9	15	2	1	0	2	1	
Indonesia	5	3	2	6	1	6	12	11	26	14	13	23	24	18	22	12	20	23	21	19	11	11	6	12	8	4	3	15	9	7	12	11	13	14	11	5	10	19	21	25	50	28	19	27	18	13	14	15	18	14	16	14	20	15	15	14	14	27	16	28	11	7	13	4	5	4	11	7	7	14	2	3	11	13	13	7	4	4	2	3	4	5	8	5	6	9	0	5	5	3	4	2	4	4	8	27	7	19	8	10	34	29	24	31	43	33	45	25	16	23	24	16	16	27	14	14	23	28	20	14	20	16	13	15	16	10	6	13	8	7	4	10	2	11	8	7	6	1	1	4	11	13	16	23	21	18	16	18	15	21	22	34	27	19	31	14	53	71	89	78	106	84	47	43	37	27	26	25	23	25	18	35	23	15	12	9	7	16	7	11	16	10	7	7	10	22	9	2	10	11	8	11	4	10	18	20	7	4	10	10	13	22	30	15	15	38	37	22	26	70	54	77	49	32	51	35	42	53	39	32	23	32	20	16	30	17	16	15	12	12	10	13	6	14	8	6	8	3	4	5	6	5	9	5	11	9	0	5	9	2	2	3	1	3						
Iran (Islamic Republic of)	35	24	8	10	18	2	12	13	20	13	15	0	6	10	10	11	16	5	3	3	5	8	2	1	1	2	1	0	1	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	1	2	1	3	9	15	106	170	273	272	245	155	126	120	60	50	42	48	28	5	15	14	9	12	6	3	2	4	4	2	1	1	0	0	2	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	7	3	12	27	41	49	106	154	99	124	52	102	50	32	7	22	11	11	8	2	8	0	3	9	5	3	2	1	7	3	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	6	0	1	19	16	20	58	42	24	24	13	9	10	31	31	6	5	11	1	6	3	9	3	4	2	0	2	1	1	0	0	1	2	3	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	2	6	0	5	11	28	26	41	18	29	21	44	65	26	35	21	22	24	11	26	11	16	3	4	7	18	12	15	28	20	29	14	27	25	35	21	14	10	7	3	0	2	0	0	0	0	0	2	0	1	0	1	2	2	2	0	0	0	4	4	10	
Iraq	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	11	53	37	34	29	49	22	16	18	5	0	5	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	3	0	1	6	8	1	7	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	24	158	269	268	40	25	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	5	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ireland	23	8	4	8	4	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	13	48	161	383	482	330	192	143	89	71	52	21	14	9	4	2	5	4	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	2	9	10	6	14	13	19	34	47	73	69	60	52	30	20	15	18	20	4	18	7	8	2	1	0	4	0	1	3	2	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	2	2	12	26	45	48	77	85	66	51	94	105	82	110	89	93	87	82	96	90	119	38	19	17	7	4	4	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	3	0	3	7	8	6	37	18	45	62	86	103	151	219	169	191	118	113	75	75	34	18	9	3	1	3	1	2	1	0	3	0	0	0	2	0	1	0	0	1	0	1	2	0	1	0	0	2	0	0	1	3	2	1	1	6		
Israel	54	27	16	12	13	6	4	2	5	1	1	0	0	0	0																									0	5	6	3	3	10	7	13	7	20	64	112	146	198	198	205	172	135	97	54	36	23	16	10	2	3																															2	0	0	1	5	3	7	7	19	18	15	22	23	32	46	51	41	53	51	31	52	36	27	10	13																									0	0	0	3	8	2	2	0	3	7	4	12	35	55	91	179	219	190	164	128	75	69	45	23	7	7	13	7																									0	4	11	11	1	8	2	3	5	3	9	12	11	23	38	40	60	77	117	142	127	84	97	72	53	32	18	7	8	11																						1	2	1	4	2	2	2	6	4	5	5		
Italy	50	34	57	30	4	6	3	4	3	8	5	10	7	2	0	2	1	0	0	1	0	0	0	0	2	0	0																			0	6	5	2	14	18	31	107	215	366	865	331	349	227	135	85	66	17	8	3	5	5	0	0																													1	5	4	4	10	15	33	31	38	91	183	199	201	141	125	91	63	25	11	7	5	6		1																													1	1	4	1	6	5	8	16	40	66	94	181	183	228	206	185	152	97	67	22	15	4	1	1																													0	0	2	6	8	3	11	19	35	62	69	95	141	78	92	89	64	58	24	16	6	2	4	0																								1	1	1			1	4	0	3	6	20	11
Jamaica	6	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	7	3	25	14	8	5	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	5	4	7	3	3	2	1	2	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0		0	0	0	1	1	2	1	2	0	1	1	0	3	0	0	0	0	1	3	1	1	0	0	3	4	0	1	0	2	0	0	0	0	0	0	1	0	6	3	8	7	7	11	15	0	0	4	5	4	3	1	0	5	0	0	1	2	0	2	4	2	0	0	3	0	1	0	0	0	1	1	1	0	2	1	0	1	0	3	0	2	0	0	0	0	0	0	0	0	1	0	2	2	5	4	11	0	3	2	2	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1				
Japan	503	480	542	409	346	265	255	178	115	88	66	29	33	26	42	31	16	14	44	43	24	12	13	13	5	10	15	16	12	7	27	24	14	22	32	50	31	31	39	64	40	50	75	59	78	137	145	170	256	372	419	245	681	1130	1650	1118	953	635	513	524	441	415	283	188	174	160	181	175	153	56	60	52	38	37	15	9	4	8	1	2	4	2	1	1	1	1	0	5	1	2	7	10	19	21	25	33	9	48	46	78	120	172	176	114	170	455	962	732	663	536	503	401	327	308	242	171	146	121	142	112	90	24	26	35	17	15	7	3	4	19	6	12	4	9	10	18	7	5	13	40	20	5	33	11	8	4	11	11	14	11	30	44	91	139	233	148	146	622	734	818	586	460	299	316	323	253	199	161	131	95	83	121	92	51	65	80	48	30	21	20	6	4	3	7	1	1	3	5	1	1	2	4	3	8	7	15	16	6	19	13	14	17	53	97	105	104	154	133	65	474	739	1009	880	697	498	525	512	395	429	298	221	150	114	126	99	55	28	33	20	19	2	6	7	3	1	0	5	1	1	3	2	5	6	5	12	10	13	17	2	6	11	21	19	67	86	104	149	67	40	
Jordan																																														1	2	6	11	28	18	16	24	7	10	7	4	2	1	2	1	0	0	1	2	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0			0	4	3	0	0	0	0	0	1	0	2	3	11	19	24	24	3	7	7	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	3	4	10	9	13	5	11	18	13	9	4	4	8	7	5	7	13	15	13	13	9	9	5	0	0	3	2	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	8	4	18	19	5	7	6	1	1	10	3	0	1	4	3	1	2	2	0	2	3	2	0	6	1	4	5	12	2	0	2	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0	1	
Kazakhstan																			5	1	3	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0					0	0	0	2	0	0	0	13	18	4	49	12	13	1	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0				0	0	2	6	7	19	50	59	79	66	38	19	15	3	2	5	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	15	30	53	56	54	65	101	71	48	52	31	11	6	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0			3	2	10		14	15	27	30	48	86	92	100	73	43	38	6	8	1	2	0	0		0	0	0	0	0	0																	0	0	0	0	0	2	0	0	0		
Kenya	6	7	62	10	5	10	1	16	15	18	14	10	14	29	14	11	6	9	8	14	8	14	13	15	26	18	19	21	35	32	25	24	15	12	6	13	18	22	26	27	36	20	20	21	26	32	19	41	31	17	16	0	10	13	12	20	31	38	38	37	48	63	63	64	56	35	27	23	14	15	13	5	12	17	12	13	22	10	17	20	19	17	14	28	18	20	7	10	7	12	5	11	19	21	21	42	31	41	38	28	13	15	6	0	2	7	0	2	6	19	6	27	40	11	7	23	14	24	7	10	16	9	4	5	1	3	3	5	4	5	2	0	1	6	4	6	8	10	7	8	5	7	5	7	9	13	11	12	12	19	10	13	2	2	9	0	3	7	9	10	3	7	9	16	11	0	4	4	8	5	6	12	3	6	1	4	8	6	3	6	5	7	8	10	13	9	4	8	9	8	10	5	5	4	2	2	3	7	6	4	3	3	5	3	4	3	1	1	1	0	1	2	0	2	3	4	6	1	12	9	3	7	6	12	0	7	9	4	4	10								0					3	0	0	0	0	6		0	0	0	14	3	0	1				
Kyrgyzstan	0	0	0	0	0	0	1	0	0	1	1	0	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	4	9	19	10	12	5	6	1	3	3	1	0	2	0		0		0		0																				0	0	0	0	0	0	0	0	0	0	2	2	4	1	8	17	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	2	0	2	4	0	10	14	4	4	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																											
Lao People's Democratic Republic																																												5	6	12	6	1	3	1	2	3	6	1	1	3	3	2	3	1	7	1	1	0	1	1	1	3	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	3	0	2	6	4	3	14	24	17	14	14	12	16	8	16	13	15	6	3	1	4	9	4	4	9	4	18	3	4	0	0	0	2	4	0	0	0	0	1	0	2	0	1	1	2	4	4	10	3	3	3	3	6	8	9	0	5	26	21	17	4	12	9	1	4	3	5	5	13	2	11	11	9			8	4	5	4	4	7	2	5	1	1	6	6	3	0	2	1	9	1	1	3	1	1	1	1	0	3	1	1	0	0	5	2	1	1	4	5	10	14	14	12	5	13	11	5	17	4	7	7	1	2	11	6	17	7	4	6	9	12	10	9	7	6	11	16	2	0	3	9	5	4	3	7	1	2	0	0	14	4	3	4	4	5	5	8	10	9	13	16	8	35	5	12	8	6	4		12	18	2	12		
Latvia	40	15	16	12	20	7	7	2	1	2	5	1	13	5	3	5	3	5	1	0		0													0		0		0	0	0	0	0	0	0	0	0	0	2	6	20	39	75	126	197	393	369	273	171	129	136	213	118	65	45	28	16	21	4	1	1	1	0			0		0		0	0	0	0			0			0		0	0	0	0	0	0	0	0	0	1	0	1	1	5	7	7	9	9	9	8	28	61	69	142	231	184	189	101	96	93	73	17	5	3		0		0				0										0		1	0	0	0	0	0	0	0	1	3	1	8	15	19	14	60	131	228	260	247	254	303	310	244	280	76	219	125	76	21	16	3	4		0	0	0								0		0		0			0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	5	6	4	22	24	32	32	23	39	25	45	14	12	15	4	7	2		5		0		0	1												0	0	1	0	0	0	0	1	1	7	8	3		
